method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
carry_forward,15009,B25064_001E,2022,2024,2,1944.00,1662.00,1547.00,1777.00,69.91,0.00,0.145062,0
carry_forward,15001,B25077_001E,2015,2017,2,344800.00,321400.00,302891.00,339909.00,11251.67,0.00,0.067865,0
carry_forward,15001,B25077_001E,2016,2018,2,368200.00,325000.00,309206.00,340794.00,9601.22,0.00,0.117328,0
carry_forward,15001,B25077_001E,2017,2019,2,381000.00,344800.00,326728.00,362872.00,10986.02,0.00,0.095013,0
carry_forward,15001,B25077_001E,2019,2021,2,472800.00,381000.00,362869.00,399131.00,11021.88,0.00,0.194162,0
carry_forward,15001,B25077_001E,2021,2023,2,528800.00,472800.00,446632.00,498968.00,15907.60,0.00,0.105900,0
carry_forward,15001,B25077_001E,2022,2024,2,580100.00,535600.00,497802.00,573398.00,22977.51,0.00,0.076711,0
carry_forward,15003,B25077_001E,2015,2017,2,680200.00,629900.00,622217.00,637583.00,4670.52,0.00,0.073949,0
carry_forward,15003,B25077_001E,2016,2018,2,701200.00,658900.00,649411.00,668389.00,5768.39,0.00,0.060325,0
carry_forward,15003,B25077_001E,2017,2019,2,739700.00,680200.00,670150.00,690250.00,6109.42,0.00,0.080438,0
carry_forward,15003,B25077_001E,2019,2021,2,781600.00,739700.00,725191.00,754209.00,8820.06,0.00,0.053608,0
carry_forward,15003,B25077_001E,2021,2023,2,899300.00,781600.00,766770.00,796430.00,9015.20,0.00,0.130880,0
carry_forward,15003,B25077_001E,2022,2024,2,920600.00,874500.00,861370.00,887630.00,7981.76,0.00,0.050076,0
carry_forward,15007,B25077_001E,2015,2017,2,560600.00,495900.00,470467.00,521333.00,15460.79,0.00,0.115412,0
carry_forward,15007,B25077_001E,2016,2018,2,627800.00,558000.00,515922.00,600078.00,25579.33,0.00,0.111182,0
carry_forward,15007,B25077_001E,2017,2019,2,622300.00,560600.00,522029.00,599171.00,23447.42,0.00,0.099148,0
carry_forward,15007,B25077_001E,2019,2021,2,695100.00,622300.00,599200.00,645400.00,14042.55,0.00,0.104733,0
carry_forward,15007,B25077_001E,2021,2023,2,888500.00,695100.00,665701.00,724499.00,17871.73,0.00,0.217670,0
carry_forward,15007,B25077_001E,2022,2024,2,939500.00,854600.00,816114.00,893086.00,23395.74,0.00,0.090367,0
carry_forward,15009,B25077_001E,2015,2017,2,641500.00,569300.00,541637.00,596963.00,16816.41,0.00,0.112549,0
carry_forward,15009,B25077_001E,2016,2018,2,629500.00,600800.00,578463.00,623137.00,13578.72,0.00,0.045592,0
carry_forward,15009,B25077_001E,2017,2019,2,697900.00,641500.00,619981.00,663019.00,13081.46,0.00,0.080814,0
carry_forward,15009,B25077_001E,2019,2021,2,744400.00,697900.00,669954.00,725846.00,16988.45,0.00,0.062466,0
carry_forward,15009,B25077_001E,2021,2023,2,934500.00,744400.00,704162.00,784638.00,24460.79,0.00,0.203424,0
carry_forward,15009,B25077_001E,2022,2024,2,1061300.00,922700.00,886786.00,958614.00,21832.22,0.00,0.130595,0
linear_log,15001,B19013_001E,2015,2017,2,57545.00,61873.41,52424.67,71322.15,3521.15,4538.07,0.075218,1
linear_log,15001,B19013_001E,2016,2018,2,57571.00,62117.89,53925.23,70310.54,2290.76,4422.23,0.078979,1
linear_log,15001,B19013_001E,2017,2019,2,67075.00,63099.84,54790.71,71408.96,2748.99,4237.58,0.059264,1
linear_log,15001,B19013_001E,2019,2021,2,69473.00,68094.37,58722.23,77466.50,2964.75,4865.19,0.019844,1
linear_log,15001,B19013_001E,2021,2023,2,74580.00,73852.16,64109.47,83594.84,3166.48,5005.06,0.009759,1
linear_log,15001,B19013_001E,2022,2024,2,75465.00,77216.63,66881.39,87551.87,3811.85,4994.36,0.023211,1
linear_log,15003,B19013_001E,2015,2017,2,81284.00,81540.35,76564.15,86516.55,1214.95,2770.34,0.003154,1
linear_log,15003,B19013_001E,2016,2018,2,84423.00,84770.51,80073.14,89467.87,1069.52,2647.69,0.004116,1
linear_log,15003,B19013_001E,2017,2019,2,87470.00,86734.74,82284.95,91184.54,994.41,2515.63,0.008406,1
linear_log,15003,B19013_001E,2019,2021,2,90704.00,92322.23,87832.31,96812.16,1409.65,2337.24,0.017841,1
linear_log,15003,B19013_001E,2021,2023,2,103131.00,97105.46,92440.95,101769.96,1504.01,2403.83,0.058426,0
linear_log,15003,B19013_001E,2022,2024,2,105205.00,100864.23,96332.64,105395.81,1114.19,2519.38,0.041260,1
linear_log,15007,B19013_001E,2015,2017,2,83860.00,79641.14,66889.98,92392.31,3303.13,7012.46,0.050308,1
linear_log,15007,B19013_001E,2016,2018,2,80921.00,80886.79,64570.07,97203.50,7304.98,6709.94,0.000423,1
linear_log,15007,B19013_001E,2017,2019,2,81971.00,89087.20,74627.15,103547.25,4574.16,7506.43,0.086814,1
linear_log,15007,B19013_001E,2019,2021,2,80582.00,94210.78,75107.88,113313.67,8894.82,7465.73,0.169129,1
linear_log,15007,B19013_001E,2021,2023,2,103564.00,96319.60,78537.94,114101.27,5816.64,9111.12,0.069951,1
linear_log,15007,B19013_001E,2022,2024,2,98128.00,98212.58,78902.32,117522.83,7517.92,9015.51,0.000862,1
linear_log,15009,B19013_001E,2015,2017,2,80241.00,74249.28,69166.42,79332.15,2002.73,2352.97,0.074672,0
linear_log,15009,B19013_001E,2016,2018,2,82885.00,77016.96,70845.32,83188.59,3044.71,2192.12,0.070797,1
linear_log,15009,B19013_001E,2017,2019,2,80754.00,83165.09,75462.61,90867.57,3132.01,3480.67,0.029857,1
linear_log,15009,B19013_001E,2019,2021,2,76273.00,90040.88,79776.93,100304.84,4886.35,3880.04,0.180508,0
linear_log,15009,B19013_001E,2021,2023,2,83691.00,90025.76,76604.35,103447.17,4735.59,6643.95,0.075692,1
linear_log,15009,B19013_001E,2022,2024,2,101192.00,96053.30,81070.40,111036.20,5407.77,7329.01,0.050782,1
linear_log,15001,B25058_001E,2015,2017,2,963.00,995.27,863.81,1126.74,40.08,69.14,0.033514,1
linear_log,15001,B25058_001E,2016,2018,2,999.00,1040.35,902.27,1178.43,52.54,65.46,0.041392,1
linear_log,15001,B25058_001E,2017,2019,2,1057.00,1046.29,918.19,1174.38,44.91,63.61,0.010135,1
linear_log,15001,B25058_001E,2019,2021,2,1149.00,1104.85,963.45,1246.26,62.27,59.26,0.038422,1
linear_log,15001,B25058_001E,2021,2023,2,1305.00,1190.76,1054.50,1327.01,54.18,62.65,0.087544,1
linear_log,15001,B25058_001E,2022,2024,2,1459.00,1209.44,1079.77,1339.10,48.14,62.42,0.171050,0
linear_log,15003,B25058_001E,2015,2017,2,1592.00,1623.35,1566.53,1680.17,33.66,7.74,0.019694,1
linear_log,15003,B25058_001E,2016,2018,2,1593.00,1635.76,1561.08,1710.44,27.38,36.21,0.026842,1
linear_log,15003,B25058_001E,2017,2019,2,1647.00,1700.30,1625.56,1775.04,29.22,34.80,0.032362,1
